River_ID,Station,State,District LGD Code,District,Latitude,Longitude,Date,Mean_Discharge_m3_sec,Max_Discharge_m3_sec,Min_Discharge_m3_sec,Readings
115,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-03-08,456.8186458333333,754.32,139.93,96
203,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-03-08,101.09957894736841,178.35,50.41,95
285,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-03-08,110.95177083333334,146.4,93.85,96
286,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-03-09,182.23729166666666,234.43,159.4,96
381,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-03-09,41.559895833333336,48.32,36.14,96
24,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-04-01,25.025,40.49,21.62,40
116,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-04-01,195.59291666666664,493.96,146.85,96
204,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-04-01,6.474698795180722,7.19,4.59,83
287,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-04-01,6.475208333333334,10.04,4.07,96
382,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-04-01,6.533020833333333,6.74,6.16,96
25,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-04-02,20.762340425531917,24.88,17.18,94
117,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-04-02,197.378,498.41,139.86,95
205,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-04-02,5.690543478260869,6.33,4.23,92
288,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-04-02,10.526979166666667,14.75,6.51,96
383,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-04-02,13.4225,13.91,12.78,96
26,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-04-03,18.774787234042552,25.66,14.67,94
118,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-04-03,265.62,687.85,137.7,95
206,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-04-03,5.4313253012048195,5.76,4.2,83
289,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-04-03,7.693250000000001,11.61,4.87,80
27,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-04-04,19.961290322580645,23.48,16.92,93
119,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-04-04,177.9818947368421,469.9,140.83,95
290,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-04-04,8.056708860759494,13.69,5.72,79
384,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-04-04,10.588125,12.12,9.78,96
28,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-04-05,23.564842105263157,26.94,16.86,95
120,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-04-05,236.984,492.9,139.11,95
207,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-04-05,6.527395833333333,7.12,5.86,96
291,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-04-05,12.060752688172045,17.99,8.09,93
385,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-04-05,12.384791666666667,14.13,11.41,96
29,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-04-06,30.380947368421054,35.37,20.44,95
